[04:38:43] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[04:38:43] [INIT] Loaded plugins:
[04:38:43] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[04:38:43] [INIT] - net.threetag.palladium.compat.kubejs.PalladiumKubeJSPlugin
[04:38:43] [INIT] - com.jesz.createdieselgenerators.compat.kubejs.CDGKubeJSPlugin
[04:38:43] [INIT] - com.tom.createores.kubejs.KubeJSExcavation
[04:38:45] [INFO] example.js#5: Hello, World! (Loaded startup scripts)
[04:38:45] [INFO] Loaded script startup_scripts:example.js in 0.113 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/wall_climb_move_condition.js in 0.024 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/wall_climb_condition.js in 0.001 s
[04:38:45] [INFO] addonpack_p_sing:kubejs_scripts/wall_climb.js#1: Loaded Java class 'net.minecraft.world.level.ClipContext'
[04:38:45] [INFO] addonpack_p_sing:kubejs_scripts/wall_climb.js#26: Loaded Java class 'net.minecraft.network.protocol.game.ClientboundSetEntityMotionPacket'
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/wall_climb.js in 0.038 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/uuid_lock.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/telekinesis_throw.js in 0.003 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/telekinesis.js in 0.009 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/speed_increase.js in 0.007 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/spectrum.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/soul_snatch.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/slow_hunger.js in 0.005 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/shutdown.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/shocked.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/shadow_brand.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/screen_shake.js in 0.004 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/power_detection.js in 0.006 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/particle_shield.js in 0.004 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/motion.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/molecule_unstable.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/frozen.js in 0.008 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/fear.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/explosion.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/exhausted.js in 0.01 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/disorientated.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/dark_marked.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/dampened.js in 0.004 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/bubbled.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/barrier_shield.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/aura_cancelled.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/aoe_knockback.js in 0.009 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/aoe_damage_once.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/aoe_damage.js in 0.013 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/get_special_power_start.js in 0.037 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/remove_special_power.js in 0.022 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/get_weakness_3.js in 0.007 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/effects/temporalis_illness.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/effects/electromagnetic_pulse.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/effects/genetic_destabilizer.js in 0.011 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/effects/temporalis_withering.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/effects/temporalis_sickness.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/effects/cellular_stress.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/effects/temporalis.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/get_genetic_defect.js in 0.008 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/generic/strength_damage_aoe.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/generic/command_raytrace.js in 0.007 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/generic/strength_damage.js in 0.001 s
